red,green,blue,mask_size,irrigation,canopy_cover,canopy_height,canopy_volume,exgreeness,yield
0.3292857142857143,0.46267857142857144,0.45125,0.22767857142857142,0.0,0.10425926216946428,0.23441990435714286,0.021936832785714285,0.014248433660714285,21.2
0.34089285714285716,0.47500000000000003,0.46517857142857144,0.21589285714285714,0.0,0.09866194140553572,0.2298817226607143,0.019588989267857144,0.011564740517857141,21.6
0.34660714285714284,0.485,0.4680357142857143,0.19964285714285715,0.0,0.10291654673357142,0.22320000789285713,0.01584809726785714,0.016325939982142858,16.9
0.34982142857142856,0.49107142857142855,0.47035714285714286,0.22017857142857142,0.0,0.11724010187625,0.24214521139285713,0.02173309423214286,0.018543816839285715,21.3
0.35321428571428576,0.49392857142857144,0.4783928571428571,0.22535714285714284,0.0,0.11356463287142857,0.24310624258928573,0.02107447205357143,0.017271307785714285,20.9
0.35446428571428573,0.4942857142857143,0.47482142857142856,0.23035714285714287,0.0,0.12189120221750001,0.24819875444642855,0.025358033142857145,0.018385565964285717,22.6
0.3560714285714286,0.4955357142857143,0.47696428571428573,0.20482142857142857,0.0,0.10823845500160714,0.22666222701785713,0.019100784303571428,0.018859434357142855,18.9
0.3516071428571429,0.48875,0.46875,0.22517857142857142,0.0,0.11859300584839286,0.23659804205357143,0.02286108958928571,0.018836412464285714,22.9
0.3314285714285714,0.4541071428571429,0.41250000000000003,0.27,0.2,0.1888573315864286,0.2629490989464286,0.04114116769642857,0.034193120714285714,37.5
0.32446428571428576,0.44553571428571426,0.3992857142857143,0.27714285714285714,0.2,0.2069372206125,0.2724431719464286,0.04603674014285714,0.038399481,42.0
0.32,0.4439285714285714,0.39142857142857146,0.27839285714285716,0.2,0.21677439035357143,0.2729884555892857,0.048159330964285714,0.04308499641071428,42.8
0.3198214285714286,0.44125000000000003,0.3892857142857143,0.2785714285714286,0.2,0.21570421147857144,0.26949588228571425,0.04211278085714286,0.04092501453571429,38.9
0.31607142857142856,0.43910714285714286,0.3807142857142857,0.29660714285714285,0.2,0.24222652126250002,0.2841041564821429,0.05188326516071429,0.04804577444642857,43.8
0.31428571428571433,0.4380357142857143,0.37678571428571433,0.2914285714285714,0.2,0.23922718538392856,0.28596289501785715,0.05241144123214286,0.04835499910714286,43.0
0.3198214285714286,0.4448214285714286,0.38303571428571426,0.2832142857142857,0.2,0.23752421463392856,0.28398056025,0.05373056205357143,0.04874126126785715,41.2
0.3203571428571429,0.4492857142857143,0.3921428571428572,0.29964285714285716,0.2,0.23921274732321426,0.29774562296428575,0.058774745375,0.050597913125,40.3
0.30410714285714285,0.48464285714285715,0.4116071428571429,0.36375,0.3,0.3083786505392857,0.3833125523392857,0.102359236375,0.08421895842857142,38.9
0.3092857142857143,0.4928571428571429,0.42625,0.37785714285714284,0.3,0.3089666782214286,0.3943098340535714,0.1131428924642857,0.08221571394642857,39.1
0.31124999999999997,0.49392857142857144,0.43000000000000005,0.3469642857142857,0.3,0.2756050406589286,0.3666220529107143,0.09426384083928571,0.07338780767857143,30.8
0.30375,0.4935714285714286,0.4166071428571429,0.3885714285714286,0.3,0.33178036550357143,0.41578004019642856,0.12271383783928572,0.09248528858928572,38.5
0.31160714285714286,0.4975,0.4276785714285714,0.38321428571428573,0.3,0.3128229998839286,0.41012889316071427,0.12313836167857142,0.08545195544642857,34.9
0.3053571428571429,0.4878571428571429,0.41375,0.4114285714285714,0.3,0.3464947374017857,0.43474055692857144,0.14416793942857145,0.09414865060714285,40.2
0.3071428571428571,0.48964285714285716,0.4160714285714286,0.3866071428571428,0.3,0.32826416219642857,0.41441110885714283,0.12660612696428572,0.08688949880357143,35.9
0.28946428571428573,0.46321428571428575,0.39553571428571427,0.39749999999999996,0.3,0.33698173065,0.41074044360714285,0.12892570173214285,0.09012107248214285,42.5
0.27142857142857146,0.41714285714285715,0.3444642857142857,0.3880357142857143,0.1,0.3439875299857143,0.3949198041428571,0.12060499398214286,0.09009171617857144,48.0
0.265,0.4048214285714286,0.3242857142857143,0.37392857142857144,0.1,0.3456851378285714,0.3908275604285714,0.11590887791071428,0.09193497873214286,48.8
0.26321428571428573,0.4032142857142857,0.32375,0.34928571428571425,0.1,0.3245159899946429,0.37498201641071427,0.10459607673214286,0.08691014430357143,48.6
0.26267857142857143,0.40375,0.3189285714285714,0.36160714285714285,0.1,0.342776087775,0.38548638473214286,0.11280410775000001,0.09359997760714286,52.9
0.26517857142857143,0.4107142857142857,0.3339285714285714,0.3533928571428571,0.1,0.3226996810428572,0.3715008327678571,0.10684960967857142,0.08737257339285713,52.7
0.26285714285714284,0.4023214285714286,0.3228571428571429,0.3626785714285714,0.1,0.3341868261285715,0.38810332153571425,0.11596839776785714,0.08729643585714286,57.0
0.2625,0.4014285714285714,0.325,0.34500000000000003,0.1,0.3170564792428571,0.3699502671964286,0.10600519496428572,0.080287224,51.7
0.26142857142857145,0.39517857142857143,0.3085714285714286,0.3508928571428571,0.1,0.3337682207339286,0.3858099800357143,0.114939587875,0.08344857978571428,56.8
0.26160714285714287,0.39785714285714285,0.3125,0.3469642857142857,0.1,0.3300059480892857,0.37954957148214286,0.11203477151785714,0.08237936083928572,58.0
0.26339285714285715,0.3964285714285714,0.3151785714285714,0.34125,0.1,0.31906629077142856,0.37424185621428574,0.10789583903571429,0.07678224342857143,53.5
0.26107142857142857,0.3983928571428571,0.31803571428571425,0.3451785714285714,0.1,0.3194869840232143,0.37533476696428575,0.11060241051785714,0.08017749533928573,53.2
